caption,caption_triples
"a dumpster filled with wood, a sign hanging on the building, and people walking by the building	","a dumpster filled with wood, a sign hanging on the building, people walking by the building"
"shadow on a street with a line. there is a road with a tree over it, and the road has lines. there is a pole next to the road.	","shadow on a street with a line, road with a tree over it, lines on the road, pole next to the road"
a tree with a gravel trunk and a bicycle on the sidewalk	,"a tree with a gravel trunk, a bicycle on the sidewalk"
"door on a building, with a window on a building next to it. there are girls in the road, and a sign is near the window.	","door on a building, window on a building next to the door, girls in the road, sign near the window"
there is a sign on a pole with a line above a street. there is a meter on the sidewalk and a light above the street.	,"a sign on a pole with a line above a street, meter on the sidewalk, light above the street"
a sign that says 1831 on a building with an awning. there is a store window with a plant.	,"a sign that says 1831 on a building with an awning, store window with a plant"
car on a road near a street with people and grass. there is a window on the building.	,"car on a road near a street, people and grass on the street, window on the building"
people near a building with a window and a second window on it. there is a flag on a pole and grass.	,"people near a building with a window, second window on the building, flag on a pole, grass"
"bike leaning on a pole with a white stripe. the bike has a rear tire, handles, and chain.	","bike leaning on a pole with a white stripe, the bike has a rear tire, handles, and chain"
"building with three windows, and a reflection in one of the windows	","building with three windows, reflection in one of the windows"
truck with a tire and a line on it. there is also a dump truck with a scale and wheels.	,"truck with a tire and line, dump truck with a scale and wheels."
"light at an intersection with a post. there is a car with a windshield wiper and pipe attached to it, on top of the road.	","light at an intersection, light with a post, car with a windshield wiper and pipe, car on top of the road."
"table with a cereal box, soda can, and bowl on top of it. the cereal box has a shadow, and the milk carton has white letters.	","table with a cereal box, table with a soda can, table with a bowl, cereal box with a shadow, milk carton with white letters."
shelf on a wall with a light. there is a counter with a fan and a barstool next to it. the barstool has a seat.	,"shelf on a wall, shelf with a light, counter with a fan, counter with a barstool, barstool with a seat."
"man in front of a building with another man with a watch behind him, and bushes and column in front of the building. there are plants near the building.	","man in front of a building, another man with a watch, bushes and column in front of a building, plants near the building."
"man with eyes and hair. there is a shelf behind him with books on it, and an eye on his shirt.	","man with eyes and hair, shelf behind him with books, shelf with an eye on his shirt."
"sofa with pillows and a guitar case behind it. there is clothing lying on the sofa, and another pillow lying on top of the sectional sofa.	","sofa with pillows, guitar case behind the sofa, clothing lying on the sofa, pillow lying on the sectional sofa."
"bird with beak and feet on a rock, and a seagull with a beak on another rock	","bird with beak and feet on a rock, seagull with a beak on another rock."
"man on a board in water with foam, and the sky above	","man on a board in water, foam in the water, sky above."
a building in the distance with a window and a roof	,"building in the distance, building with a window, building with a roof."
sign on plaza in front of a palm tree. there is a lawn with a pole and trees. the branches of the trees are visible.	,"sign on plaza, palm tree in front of the plaza, lawn with a pole, trees with visible branches."
"a white cat looking through slats on a red chair. the cat has a tail and nose, and the head has dark markings.	","white cat looking through slats, red chair with slats, cat with a tail and nose, cat's head with dark markings."
cat with an ear and a line on a chair. the cat also has a stripe and the chair has a back.	,"cat with an ear and line, chair with a back, cat with a stripe."
a guy with a scarf around his neck and glasses on his face. he is standing on the sidewalk.	,"guy with a scarf and glasses, guy standing on the sidewalk."
"person wearing a shirt in front of a window on a building. there is another window on the building, and a trash can in front of the first window. there is a plaque on the building.	","person wearing a shirt, window on a building, another window on the building, trash can in front of the window, plaque on the building."
"bicycles in front of a building with an arch, a bike leaning on a planter, and windows on the building.	","bicycles in front of a building, building with an arch, bike leaning on a planter, windows on the building."
needles with markers under trees with shadows. there is a building with windows next to a light post.	,"needles with markers, trees with shadows, building with windows, light post next to the building."
"there is a banana on a plate. there is a stem attached to the banana, and there are spots appearing on the banana.	","banana on a plate, stem attached to the banana, spots on the banana."
"astronaut with a flag on their spacesuit, wearing gloves	","astronaut with a flag on their spacesuit, astronaut wearing gloves."
luggage cart across from building. wheel attached to luggage cart. building across from airplane. airplane across from a building. windows of a building.	,"luggage cart across from a building, wheel attached to the luggage cart, building across from an airplane, airplane across from a building, windows of the building."
"plane on a runway, building below the sky, truck near a machine, and machine on the runway	","plane on a runway, building below the sky, truck near a machine, machine on the runway"
a man in a shirt holding onto a handle on an escalator with a pillar in the background	,"a man in a shirt holding onto a handle on an escalator, pillar in the background"
"lady wearing pink with necklaces and a watch, sitting in a chair next to a window. there are bags on the chair.	","lady wearing pink with necklaces and a watch, sitting in a chair next to a window, bags on the chair"
"seats with a shadow cast on them from the lighting. there are benches in front of a building, and grass next to the benches.	","seats with a shadow cast on them, benches in front of a building, grass next to the benches"
"person and another person standing inside a stadium, with another person in the stands. there is a sky above the stadium and a field inside the stadium.	","person and another person standing inside a stadium, person in the stands, sky above the stadium, field inside the stadium"
a black artwork with a white mat in the background	,a black artwork with a white mat in the background
girl with a ponytail in an art room with several paintings.	,"girl with a ponytail in an art room, several paintings in the art room"
"a window on a house, bushes next to the house, and a door on the house	","a window on a house, bushes next to the house, door on the house"
projector on ceiling with black lights on stage and stairs leading to stage	,"projector on ceiling, black lights on stage, stairs leading to stage"
"tray with a pastry, another pastry, and an apple/cranberry scone on top of it. there is a danish on the floor under the table.	","tray with a pastry, another pastry, apple/cranberry scone on top of the tray, danish on the floor under the table"
"a toy in a ball pit near a window with blinds. there are also balls near the window, and a sign on the window.	","a toy in a ball pit near a window with blinds, balls near the window, sign on the window"
man wearing jeans and a hat with a mountain range behind him. there is a building and his hand is on his hip.	,"man wearing jeans and a hat, mountain range behind him, building behind him, hand on his hip"
"a lady with a shirt and hair, sitting at a table with food in a bowl	","a lady with a shirt and hair, sitting at a table with food in a bowl"
lamp on a pole next to a railing with a table overlooking a lake. there is a flower on the patio.	,"lamp on a pole next to a railing, table overlooking a lake, flower on the patio"
bathroom mirror above a bathroom sink with a faucet and a handle. there is a bottle and another bottle on the sink.	,"bathroom mirror above a bathroom sink, faucet and a handle on the sink, bottle and another bottle on the sink"
desk desk in corner. lamp on desk. book on desk. desk chair with padded back. bedroom has desk.	,"desk in corner, lamp on the desk, book on the desk, desk chair with padded back, bedroom with the desk"
"bed next to a wall with a curtain. there is a nightstand next to the bed, and a pillow on top of the bed. there is a lamp in the corner.	","bed next to a wall with a curtain, nightstand next to the bed, pillow on top of the bed, lamp in the corner"
"a bureau with a flower arrangement, a lamp, and a mirror above it near a window with a blind	","a bureau with a flower arrangement, lamp, and a mirror above it, window with a blind near the bureau"
a bed with a sheet and headboard in the corner of the room. there is a bedstand next to the bed with a bowl on it and a lamp in the corner.	,"a bed with a sheet and headboard in the corner, bedstand next to the bed with a bowl on it, lamp in the corner"
"bear above desk, clock leaning on wall, lamp on desk, art on wall	","bear above the desk, clock leaning on the wall, lamp on the desk, art on the wall"
doll and car near a bed with drapes in front of a window and a pillow on the bed	,"doll near a bed, car near a bed, drapes in front of a window, pillow on the bed,"
"people walking on a street near a building with a sign. there is a person on the curb, and a crosswalk on the street.	","people walking on a street, a street near a building, a building with a sign, a person on the curb, a crosswalk on the street,"
a bike with a light on the back tire and the front tire next to a building	,"a bike with a light on the back tire, a light on the front tire, the bike next to a building,"
a bus on a street with a line. the bus has lights and a windshield. a man is walking to the bus.	,"a bus on a street, a street with a line, the bus has lights, the bus has a windshield, a man walking to the bus,"
a bus with a head rest and windshield; an arm is in the bus	,"a bus with a head rest, a bus with a windshield, an arm in the bus,"
"desk with a chair in front of it, and a board and blinds on the wall	","desk with a chair in front, chair in front of a desk, board on the wall, blinds on the wall,"
a table and chair in a classroom with a window around it	,"a table and chair in a classroom, a classroom with a window around it,"
cart sitting in room. chair on floor. wall inside room. desk inside room. television sitting on cart.	,"cart sitting in a room, chair on the floor, wall inside a room, desk inside a room, television sitting on the cart,"
"a computer on a desk with a screen and a drive. there is another desk under the computer, and a keyboard near the chair.	","a computer on a desk, a desk with a screen, a desk with a drive, another desk under the computer, keyboard near the chair,"
a keyboard with a key next to a chair and table. on top of the table is a monitor and computer.	,"keyboard with a key, a key next to a chair, a chair and table, a monitor on top of the table, computer on the table,"
"theater with seats, a ceiling with lights, and speakers on the side. there is a speaker above one of the seats.	","theater with seats, a ceiling with lights, speakers on the side, a speaker above a seat,"
window on building. tower of another building. another window on building. clock on tower. bush beside building.	,"window on a building, tower of another building, another window on a building, clock on the tower, bush beside a building,"
buildings near a grove of trees with cows next to the shrubs. the grass holds the cows and the sky is above the tree.	,"buildings near a grove of trees, cows next to the shrubs, grass holding the cows, sky above the trees,"
"a structure on a field with sheep. there is a tree behind a barn, and a fence along the field. there is a door on the barn.	","a structure on a field, a field with sheep, tree behind a barn, fence along the field, door on the barn,"
"man standing by a stand with tomatoes, which has a canopoy over it, and a green cloth under the tomatoes	","man standing by a stand with tomatoes, a stand with a canopy, green cloth under the tomatoes,"
chair near a window with a curtain in a room. there is a pillow on the chair and a pool table with felt.	,"chair near a window, window with a curtain in a room, pillow on the chair, pool table with felt,"
"wall with a switch, black picture, and a clock next to a green street sign. the wall is white.	","wall with a switch, black picture on the wall, clock next to a green street sign, the wall is white,"
there is a phone on the counter and a packet on the desk	,"phone on the counter, packet on the desk,"
flowers and curtains beside a bed with a chart close by. there is a chair beside the bed and the floor is close to the chair.	,"flowers and curtains beside a bed, a chart close to the bed, chair beside the bed, floor close to the chair,"
"a rock near a waterfall on a mountain. there are people in the water, including a couple and a woman.	","a rock near a waterfall, waterfall on a mountain, people in the water, a couple in the water, woman in the water."
white bin on right side of playroom floor. pink and white table to right of playroom. colorful rug in middle of playroom. blue post to right of playroom. small white fridge in back of playroom.	,"white bin on right side of playroom floor, pink and white table to right of playroom, colorful rug in middle of playroom, blue post to right of playroom, small white fridge in back of playroom."
bread and debris on a table with a chair at the top	,"bread and debris on a table, a chair at the top of the table."
three cabinets in a kitchen with a blender and bottle on the counter.	,"three cabinets in a kitchen, a blender and bottle on the counter."
"utensils next to a can with a clock display. the blender is on top of the clock display, and the cabinet is above it.	","utensils next to a can, a clock display with a blender on top, a cabinet above the clock display."
"cabinet with a knob and a microwave oven. there is a stove with a clock display, and a can sitting on the clock display. there is a knob on the back of the stove.	","cabinet with a knob and a microwave oven, a stove with a clock display and a knob on the back, a can sitting on the clock display."
blender sitting on a clock display. there is a stove with two knobs on the back of it and an oven door with a glass window.	,"blender sitting on a clock display, a stove with two knobs on the back and an oven door with a glass window."
"stainless steel jar with utensils, sink and drying rack, and faucet on sink	","stainless steel jar with utensils, sink with a drying rack, faucet on the sink."
"coffee maker in corner, with toaster, bag of coffee, and four knives on the counter and cabinets above.	","coffee maker in corner, toaster on the counter, bag of coffee on the counter, four knives on the counter, cabinets above the counter."
"a stove with a knob, cooking pot, and two drawers. there are three knobs on the stove.	","a stove with a knob, cooking pot on the stove, two drawers below the stove, three knobs on the stove."
a pan on a stove with a refrigerator next to it. the freezer section is at the top of the refrigerator. the stove has a burner. there is a pantry door in the kitchen.	,"a pan on a stove, refrigerator next to the stove, freezer section at the top of the refrigerator, a burner on the stove, a pantry door in the kitchen."
two knobs over a stove with a handle. there is a window in the door and a row of drawers next to the stove.	,"two knobs over a stove with a handle, a window in the door, a row of drawers next to the stove."
a person on rocks with a child standing on the rocks and a tree standing by the rocks	,"a person on rocks, a child standing on the rocks, a tree standing by the rocks."
boy swimming in a pool with a ladder. there is a statue in another pool in the background.	,"boy swimming in a pool with a ladder, a statue in another pool in the background."
there is a pillow on a chair next to a couch. there is a lamp in the corner and a blanket on the couch. the couch is against the wall.	,"a pillow on a chair next to a couch, a lamp in the corner, a blanket on the couch, the couch against the wall."
"a man below boxes, a table holding lemons, and boxes above lemons.	","a man below boxes, a table holding lemons, boxes above the lemons."
a couch by a wall with a decoration and bird	,"a couch by a wall, a decoration on the wall, a bird by the couch."
"pail with handle, another pail, and another pail hanging from a wall with a window and table under the window.	","pail with a handle, another pail, another pail hanging from a wall, a window in the wall, a table under the window."
bridge casts shadow. shadow on bridge. river covering surface. brush near a bridge. beam gives support.	,"bridge casts shadow, shadow on the bridge, river covering the surface, brush near the bridge, beam giving support."
man next to a waterfall with pebbles and a rock. there is a shadow on the pebbles and the man has hair.	,"man next to a waterfall, pebbles and a rock by the waterfall, shadow on the pebbles, the man with hair."
curtain on another stage. stage in a auditorium. lights in back of auditorium. another lights near curtain. wall in auditorium.	,"curtain on another stage, stage in an auditorium, lights in back of the auditorium, another lights near the curtain, wall in the auditorium."
person in shirt and shorts looking at electronics and records in a van	,"person in a shirt, person in shorts, person looking at electronics, person looking at records, van with electronics, van with records."
group of men riding on a racetrack with a white line painted on it. there is a wood fence bordering the track and trees are behind the fence.	,"group of men riding on a racetrack, racetrack with a white line, wood fence bordering the track, trees behind the fence."
table with flowers on a porch that has a railing and a post	,"table with flowers on a porch, porch with a railing, porch with a post."
table with a leg in a corner of a waiting room with a chair and a wall.	,"table with a leg in a corner, corner of a waiting room, chair in a waiting room, wall in a waiting room."
a chair with a cushion and an armrest. there is a plant in a planter.	,"chair with a cushion, chair with an armrest, plant in a planter."
"light switch on a wall, with a chair, rug, painting, table, and lamp on the rug.	","light switch on a wall, chair on a rug, rug with a painting, table on a rug, lamp on a rug."
wall with saws and a light switch on it. there are tools hanging on the wall and a toolbox in the room. there is also a cutout on the wall.	,"wall with saws, wall with a light switch, tools hanging on the wall, toolbox in the room, cutout on the wall."
"a keyboard with a key, mouse, power cord, and power strip on a table	","keyboard with a key, mouse on a table, power cord on a table, power strip on a table."
a gate in a field with a tree and three sheep. one sheep is in the shadow of the gate.	,"gate in a field, field with a tree, three sheep in a field, sheep in the shadow of the gate."
vase with flowers on a table in a living room. there is a rug on the floor and a couch in the room.	,"vase with flowers on a table, table in a living room, rug on the floor, couch in the room."
a chair in the corner of a room with a lamp beside the window blinds. the window blinds are on the balcony and there are trees outside.	,"chair in the corner of a room, lamp beside the window blinds, window blinds on the balcony, trees outside the balcony."
a wall with a picture and an armoire that has a candle holder on top of it	,"wall with a picture, armoire with a candle holder on top."
a table with books and a lamp on it in front of a mirror on the wall. there is a wire coming from the lamp.	,"table with books and a lamp, lamp on a table in front of a mirror, wire coming from the lamp."
"there is a lid on a table, with a plate on top of it. there is a hand next to the table, with a watch next to it. there is a fish beside the bowl.	","lid on a table, plate on top of the lid, hand next to the table, watch next to the hand, fish beside the bowl."
a satellite on top of a tower with a bridge that has an archway under it	,"satellite on top of a tower, tower with a bridge, bridge with an archway under it."
"man holding a pamphlet and a crowd watching a statue. there is a girl standing next to the statue, and a woman looking at it. the girl is wearing glasses.	","man holding a pamphlet, crowd watching a statue, girl standing next to the statue, woman looking at the statue, girl wearing glasses."
man in shirt on a stair with lines. there is also a person on the stair.	,"man in a shirt on a stair, stair with lines, person on the stair."
man and person on stairs	,man and person on stairs.
a window with a house in it and the sky above the house	,"window with a house in it, sky above the house."
"knife, napkin, and plate on a table with a glass on it	","knife, napkin, and plate on a table, table with a glass on it."
"a plate with a bean and meat on it, with a utensil to the left. there is a napkin on a photo.	","a plate with a bean and meat, a utensil to the left of the plate, a napkin on a photo."
an announcement on a table with a ribbon. there is an elephant with wine and a glass on the table.	,"an announcement on a table, a ribbon on the table, an elephant with wine, a glass on the table."
"glass of water with a straw, knife, and pepper container on a table	","a glass of water with a straw, a knife, a pepper container on a table."
"a plate with noodles and a fruit design sitting on top of a carpet. there is a dish and bottle wrapper on the carpet, and a table next to the carpet.	","a plate with noodles and a fruit design on top of a carpet, a dish on the carpet, a bottle wrapper on the carpet, a table next to the carpet."
"cloth, napkin, and silverware on top of plates, and a fork and chopsticks next to the silverware	","cloth on top of plates, napkin on top of plates, silverware on top of plates, a fork next to the silverware, chopsticks next to the silverware."
"a table with a dinner plate, spoon, candle, vase, and green bowls. there is another spoon next to the dinner plate.	","a table with a dinner plate, a spoon, a candle, a vase, green bowls, another spoon next to the dinner plate."
woman wearing a shirt and holding a stirring stick. there is a lab table with paper and a specimen cup on top of it.	,"woman wearing a shirt, woman holding a stirring stick, lab table with paper, a specimen cup on the lab table."
a microphone for a drummer playing a drumset with a wire in front of it	,"a microphone for a drummer, a drumset with a wire in front of it."
"baby being carried by grandmother with a beanie on. there is hair on top of the grandmother's head, and the baby is swaddled in a blanket. the grandmother's hand is touching the baby.	","baby being carried by grandmother, grandmother with a beanie, hair on top of grandmother's head, baby swaddled in a blanket, grandmother's hand touching the baby."
a person on the sidewalk in front of a building with a window and entrance	,"a person on the sidewalk, a building with a window, a building with an entrance."
a computer mouse on a wall of a building full of computers	,"a computer mouse on a wall, a building full of computers."
"machine with a wire on a desk with a keyboard, monitor, and paper pad. the screen is above the keyboard.	","machine with a wire on a desk, a keyboard on the desk, a monitor on the desk, a paper pad on the desk, the screen above the keyboard."
"desk with a keyboard, mouse, monitor, and paper. the keyboard has a button	","desk with a keyboard, mouse, monitor, paper, a button on the keyboard."
"words on a lobby wall, with a beige sofa against the wall and a person sitting on the sofa	","words on a lobby wall, a beige sofa against the wall, a person sitting on the sofa."
stairs leading up to a building with siding and power lines. there is a car on the ground with a shadow.	,"stairs leading up to a building, a building with siding, power lines, a car on the ground, a shadow of the car."
wires above a sidewalk with a car and a container on it. the car has a tail light and a license plate. there is a person on the sidewalk.	,"wires above a sidewalk, a car on the container, the car with a tail light, the car with a license plate, a person on the sidewalk."
"window of a house with a doorway that has pillars. there is a wall beside the house, and two windows.	","window of a house, doorway with pillars, a wall beside the house, two windows on the wall."
a car driving on a street with a car parked under a tree on the sidewalk	,"a car driving on a street, a car parked under a tree on the sidewalk."
people near a car on a road by a building and tree. there is a hydrant on the street.	,"people near a car on a road, a building near the car, a tree near the car, a hydrant on the street."
"a car parked on a street with a patch, tree, line, and post	","a car parked on a street, a patch on the street, a tree on the street, a line on the street, a post on the street."
trees in front of a building with a window. the building is made of red brick. there is a second building with two windows in front of the first building.	,"trees in front of a building, a building with a window, a building made of red brick, a second building with two windows, a second building in front of the first building."
a man wearing a backpack and an arrow pointing to a car near a road.	,"a man wearing a backpack, an arrow pointing to a car, a car near a road."
there is a basket on the ground and lines on the floor. there are blocks on the ground and a box on the blocks. this is in a garage.	,"a basket on the ground, lines on the floor, blocks on the ground, a box on the blocks, this in a garage."
"a woman in front of a building with a number on it, and a window on the building	","a woman in front of a building, a building with a number, a window on the building."
"license plate next to a van. the van is next to a lady with a head, who is wearing glasses. there are people walking in the distance on a sidewalk	","license plate next to a van, a van next to a lady, a lady with a head, a lady wearing glasses, people walking in the distance, people on a sidewalk."
"man near a box on a sidewalk with a tree, sign, and building across the street, and a hydrant next to the man.	","man near a box on a sidewalk, a tree across the street, a sign across the street, a building across the street, a hydrant next to the man."
"man near a road with a bike on the street. there is a line on the road, and a window on the building.	","man near a road, a bike on the street, a line on the road, a window on the building."
a truck on a street. the truck has a silver grille with a blue emblem and a front license plate below the silver grille. the street has white lines painted on it.	,"a truck on a street, a truck with a silver grille, a silver grille with a blue emblem, a front license plate below the silver grille, white lines painted on the street."
speaker next to monitor with a button. mouse and keyboard on top of desk. part of monitor is in a separate desk.	,"speaker next to monitor, a monitor with a button, mouse and keyboard on top of desk, part of monitor in a separate desk."
box on floor. grey and black box. books on table. top of table. leg on table.	,"box on floor, grey and black box, books on table, top of table, leg on table."
a scooter is parked on the sidewalk in front of a motorcycle and car next to a tree. the roof of the building is casting a shadow on the sidewalk.	,"a scooter parked on the sidewalk, a scooter in front of a motorcycle, a motorcycle and car next to a tree, the roof of the building casting a shadow on the sidewalk."
"a row of trees with leaves, one tree has a shadow. there is grass at the bottom.	","a row of trees with leaves, one tree with a shadow, grass at the bottom."
a woman with a backpack on her back and a strap from the backpack	,"a woman with a backpack on her back, a strap from the backpack."
woman wearing a shirt and a woman in a dress crossing a street with a tree and a man	,"woman wearing a shirt, a woman in a dress crossing a street, a tree and a man on the street."
"a coffee mug on a table, with a cup and packet near it	","a coffee mug on a table, a cup near the mug, a packet near the mug."
there is an ornament on the wall. there is another ornament on the wall. there is an ornament on the wall. there is a knack on the shelf.	,"an ornament on the wall, another ornament on the wall, an ornament on the wall, a knack on the shelf."
suv in front of a building with a tire and a weather vane on top. there is a car driving on the street and the building is on a wall.	,"suv in front of a building, a building with a tire, a building with a weather vane, a car driving on the street, a building on a wall."
"a woman wearing a shirt and holding a creme, with a shelter over some patrons and people	","a woman wearing a shirt, a woman holding a creme, a shelter over some patrons, people under the shelter."
pole on stairs with a pumpkin on the porch	,"pole on stairs, a pumpkin on the porch."
"a window on a building, with a grey van near another building and a white house behind another building	","a window on a building, a grey van near another building, a white house behind another building."
a potted plant on a desk with papers; there is a pot on top of the table	,"a potted plant on a desk, papers on a desk, a pot on top of the table,"
"a black chair with wheels in front of a desk, with a laptop and lamp on it	","a black chair with wheels in front of a desk, a laptop on the desk, a lamp on the desk,"
a bicycle leaning against a pole and a motorcycle parked next to a city street	,"a bicycle leaning against a pole, a motorcycle parked next to a city street,"
a building with three windows; one window has bars and a plant outside it	,"a building with three windows, one window with bars, a plant outside the window,"
a vehicle with two windows on the road. there is a sidewalk with a tree next to the road.	,"a vehicle with two windows on the road, a sidewalk with a tree next to the road,"
"a car with a license plate, a bike next to it, and a light and window on the car.	","a car with a license plate, a bike next to the car, a light on the car, a window on the car,"
a car coming down a road with lines. there are boxes and a sign on the road. there is a tree next to the road.	,"a car coming down a road with lines, boxes on the road, a sign on the road, a tree next to the road,"
"a motorcycle parked on the sidewalk, with a motorbike next to it and a gas tank of a bike.	","a motorcycle parked on the sidewalk, a motorbike next to the motorcycle, a gas tank of a bike,"
people walking street. woman with hair. man walking people. there is a vest.	,"people walking on the street, a woman with hair, a man walking with people, a vest on one of them,"
a door on a house with a mailbox on the wall and a paper on the door	,"a door on a house, a mailbox on the wall, a paper on the door,"
a chime hanging on a porch with a railing and a bush	,"a chime hanging on a porch, a porch with a railing, a bush near the porch,"
man on a sidewalk near a lamp and a bench. there is a store window nearby	,"a man on a sidewalk near a lamp, a bench on the sidewalk, a store window nearby,"
brick house with cars on the road in front of it	,"brick house with cars on the road in front of the house,"
"a car driving alongside a road, with a fence next to it, and green writing on a building	","a car driving alongside a road, a fence next to the car, green writing on a building,"
"stairs made of another stone with moss on it, leading up to a wall made of rock, with a bush nearby	","stairs made of stone with moss on them, leading up to a wall made of rock, a bush nearby,"
person wearing a black sleeve with red and green spots; human arm on rock wall	,"person wearing a black sleeve with red and green spots, human arm on a rock wall,"
a balcony with a rail over a restaurant with a sign under the balcony	,"a balcony with a rail over a restaurant, a sign under the balcony,"
a house in a forrest behind a building with a roof	,"a house in a forest behind a building with a roof,"
a building with a window near some grass; the sky is above the building and there is snow on the ground	,"a building with a window near grass, the sky above the building, snow on the ground,"
"the bottom of a lamp post in front of a building, with a sidewalk in front of another building	","the bottom of a lamp post in front of a building, a sidewalk in front of another building."
a red sign on fencing around a building. the sign is black and white. there is a large tree in front of the building.	,"a red sign on fencing, fencing around a building, the sign is black and white, a large tree in front of the building."
"lamp on a nightstand next to a bed with a pillow and blanket on it, and a second pillow in the bed	","lamp on a nightstand, nightstand next to a bed, bed with a pillow and blanket, a second pillow in the bed."
a card on a table with a bed on the card and a pillow on the bed	,"a card on a table, a bed on the card, a pillow on the bed."
tv on top of dresser with a paper. there is a drawer with a knob.	,"tv on top of dresser, dresser with a paper, a drawer with a knob."
a chair and cabinet next to each other; there is a tv in the cabinet and paper on top of the cabinet	,"a chair next to a cabinet, a tv in the cabinet, paper on top of the cabinet."
"a lamp, can, and item on a counter with a picture above it	","a lamp on a counter, a can on a counter, an item on a counter, a picture above the counter."
a car parked next to a rail next to a door of a house near a tree	,"a car parked next to a rail, a rail next to a door of a house, a tree near the house."
a container sitting on top of a counter that is butting against a range; there is a towel hanging from the range	,"a container on top of a counter, a counter butting against a range, a towel hanging from the range."
"paper, pen, and book on another table, and a seat next to the table	","paper on another table, pen on another table, book on another table, a seat next to the table."
a car parked in front of a building; the wall of the building is on the side of the car; a sign is at the corner of the building.	,"a car parked in front of a building, the wall of the building on the side of the car, a sign at the corner of the building."
a tree and a pole on the sidewalk next to another sidewalk with a cone on it.	,"a tree on the sidewalk, a pole on the sidewalk, another sidewalk with a cone on it."
"small-round vase, green-glass vase, and three-glass vases on cabinets, and a dresser/mirror on a cabinet	","small-round vase on cabinets, green-glass vase on cabinets, three-glass vases on cabinets, dresser/mirror on a cabinet."
a green plant on a black stand with power cords seen through a window	,"a green plant on a black stand, power cords seen through a window."
"a stove with a pan and kettle on it, between cabinets, with art hung over the stove.	","a stove with a pan, a stove with a kettle, cabinets on either side of the stove, art hung over the stove."
faucet on wall in bathtub with knob on another wall.	,"faucet on wall in bathtub, knob on another wall."
"a window shade on a window in a dining room, and a painting on the wall	","a window shade on a window, a painting on the wall in a dining room."
"a teacup, glass, and saucer on a table. the glass has juice in it and the table has a newspaper.	","a teacup on a table, a glass with juice on a table, a saucer on a table, a table with a newspaper."
"table with a statue on it, beside a couch that has a pillow and a cover on it. the couch is on top of a carpet.	","table with a statue, couch beside the table, couch with a pillow and cover, carpet under the couch."
"a napkin, toothpick, and container on a table; there is a bench under the table	","a napkin on a table, toothpick on a table, container on a table, a bench under the table."
books tucked into a tv stand with blinds on the window	,"books in a tv stand, blinds on the window."
leaves on the sidewalk with a shadow from a fence and a tree in the background	,"leaves on the sidewalk, shadow from a fence, a tree in the background,"
"car on the right, with a sewer on the pavement, and another car parked alongside the pavement with a mirror on it	","car on the right, a sewer on the pavement, another car parked alongside the pavement, a mirror on the car,"
an awning on buildings above a road with people crossing it	,"awning on buildings above a road, people crossing the road,"
an arrow sign on a pole with a light hanging from it in the city.	,"arrow sign on a pole, a light hanging from the pole in the city,"
a pot with flowers on the road in front of a truck	,"a pot with flowers on the road, a pot in front of a truck,"
"a flag on a pole in front of a building. there is a sign on the building, and people are walking in front of the sign.	","a flag on a pole in front of a building, a sign on the building, people walking in front of the sign,"
"two bikes leaning on a pole, one with a basket, and a puddle on the sidewalk	","two bikes leaning on a pole, one bike with a basket, a puddle on the sidewalk,"
person wearing a trench coat along a street with three buildings	,"person wearing a trench coat along a street, three buildings on the street,"
a woman wearing pants on stairs with the head of another woman	,"a woman wearing pants on stairs, the head of another woman on the stairs,"
"a red ball under a desk, a screen on the desk, and a bottle on the desk	","a red ball under a desk, a screen on the desk, a bottle on the desk,"
"hill with mountains and peaks, lake, and beach with evergreens	","hill with mountains and peaks, a lake, a beach with evergreens,"
"road with trees on either side, and a driveway leading to a house on the left side. there is also a house on the right side of the road, on the street.	","road with trees on either side, a driveway leading to a house on the left side, a house on the right side of the road,"
"car, another car, and another car on a road, and a bus spraying water	","car on a road, another car on the road, another car on the road, a bus spraying water,"
"deer with an ear, face, and mouth, and another deer with an ear	","deer with an ear, face, and mouth, another deer with an ear,"
person opening a lid to a bin with a light pole and bag next to it	,"person opening a lid to a bin, a light pole next to the bin, a bag next to the bin,"
a tree above the ground and a pole on the ground with a street	,"a tree above the ground, a pole on the ground, a street with the pole,"
a green reflection on still water below a building with an open window and a white reflection. there is also a glare along the building.	,"green reflection on still water below a building, an open window on the building, white reflection on the water, a glare along the building,"
"car on road, wall and window on side of building	","car on the road, a wall on the side of a building, a window on the building,"
a dirt path with a lamp post and a sidewalk. the shadow is on the dirt.	,"a dirt path with a lamp post, a sidewalk next to the path, shadow on the dirt,"
"three trees next to a building, and two windows on the building	","three trees next to a building, two windows on the building."
a building with trees and a car next to it. there are windows on the building.	,"a building with trees, a car next to the building, windows on the building,"
"another window on a building, and a hole in a cover with a window	","another window on a building, a hole in a cover with a window,"
"bus with w, doors, and stripes; there is a light on the side of the bus	","bus with doors and stripes, a light on the side of the bus,"
a person laying in grass in front of a brick building with a structure on the grass	,"a person laying in grass, a brick building with a structure on the grass,"
"a lamp on a sidewalk with a brick, and people walking on the sidewalk	","a lamp on a sidewalk, a brick on the sidewalk, people walking on the sidewalk,"
a couple walking down a sidewalk past people. there is a brick building at the end of the sidewalk.	,"a couple walking down a sidewalk, a brick building at the end of the sidewalk,"
"a window on a building, and a man and person walking on a cobble street	","a window on a building, a man and person walking on a cobble street,"
